t,i,temp_desired,temp_tc
1681245401.761926,25,0.43740668201999716,24.1386241
1681245402.7422092,25,0.44745982753000063,24.1519317
1681245403.7237854,25,0.4612872063619993,24.1574401
1681245404.7177637,25,0.47898688069200174,24.1553211
1681245405.7044222,25,0.49036269264400023,24.1654186
1681245406.6953802,25,0.5029165740199977,24.1728668
1681245407.6823173,25,0.5072717380199977,24.1963043
1681245408.6624339,25,0.5082179966600003,24.2249488
1681245409.6631374,25,0.4969055343239999,24.2760677
1681245410.6439278,25,0.4878451857959987,24.3209171
1681245411.6189113,25,0.4708046621660005,24.3794479
1681245412.6087942,25,0.4544107702459986,24.434494
1681245413.636352,25,0.4396387415119988,24.4852657
1681245414.6278987,25,0.40911003963199877,24.5635204
1681245415.6218107,25,0.3867876756320003,24.6232357
1681245416.6086166,25,0.3554788056319995,24.69775
1681245417.5859928,25,0.31894121135199893,24.7795124
1681245418.5715873,25,0.27940049896799984,24.8639488
1681245419.5383415,25,0.24586598988400032,24.9335918
1681245420.5141973,25,0.20249902780399887,25.019556
1681245421.494318,25,0.1659884798779991,25.0891227
1681245422.4809554,25,0.13132534142999994,25.1524486
1681245423.4687567,25,0.09699069025999879,25.2127361
1681245424.4636812,25,0.058780956259998934,25.2780342
1681245425.4373198,25,0.021966495012001014,25.3385543
1681245426.410739,25,0,25.3868923
1681245427.3858414,25,0,25.4359283
1681245428.4264863,25,0,25.4641532
1681245429.4127007,25,0,25.5096778
1681245430.3995316,25,0,25.5361099
1681245431.3761628,25,0,25.5650215
1681245432.3491058,25,0,25.5847434
1681245433.328943,25,0,25.6085758
1681245434.2998989,25,0,25.6396694
1681245435.2850661,25,0,25.641983
1681245436.26182,25,0,25.6564884
1681245437.2514436,25,0,25.6662006
1681245438.2447906,25,0,25.682228
1681245439.2312114,25,0,25.6718692
1681245440.221118,25,0,25.6821212
1681245441.207647,25,0,25.6768569
1681245442.1969414,25,0,25.6868934
1681245443.1936612,25,0,25.6833114
1681245444.1903694,25,0,25.6842555
1681245445.1734686,25,0,25.6898345
1681245446.1735437,25,0,25.6832447
1681245447.1671133,25,0,25.6912956
1681245448.143554,25,0,25.6904621
1681245449.1160913,25,0,25.6882343
1681245450.10181,25,0,25.6915664
1681245451.0824504,25,0,25.6839962
1681245452.06569,25,0,25.678194
1681245453.0518098,25,0,25.6694431
1681245454.0418563,25,0,25.6658
1681245455.0284462,25,0,25.6639823
1681245456.0047252,25,0,25.6501007
1681245456.9942153,25,0,25.6380176
1681245457.9907026,25,0,25.6348361
1681245458.980696,25,0,25.6284313
1681245459.9609437,25,0,25.6268043
1681245460.9304,25,0,25.6244239
1681245461.920438,25,0,25.6059036
1681245462.9055915,25,0,25.5940742
1681245463.8926654,25,0,25.5843429
1681245464.8728714,25,0,25.5798244
1681245465.8673742,25,0,25.5683097
1681245466.8458824,25,0,25.56217
1681245467.8613863,25,0,25.5659694
1681245468.845819,25,0,25.5525684
1681245469.8185995,25,0,25.5501003
1681245470.8147955,25,0,25.5386714
1681245471.8015468,25,0,25.5352859
1681245472.7915194,25,0,25.5203495
1681245473.7760797,25,0,25.5168476
1681245474.7559724,25,0,25.508152
1681245475.733533,25,0,25.4885826
1681245476.717629,25,0,25.477621
1681245477.703152,25,0,25.4731712
1681245478.6931334,25,0,25.4634418
1681245479.6801846,25,0,25.4688053
1681245480.6538174,25,0,25.453001
1681245481.642947,25,0,25.4457168
1681245482.6295323,25,0,25.4457702
1681245483.6060073,25,0,25.4409046
1681245484.5966303,25,0,25.4158344
1681245485.5921142,25,0,25.4007606
1681245486.5820408,25,0,25.4024524
1681245487.5754483,25,0,25.3937397
1681245488.5619547,25,0,25.369852
1681245489.55712,25,0,25.3760757
1681245490.550857,25,0,25.3594741
1681245491.534452,25,0,25.3565025
1681245492.5035555,25,0,25.3428516
1681245493.4909523,25,0,25.3469829
1681245494.4695895,25,0,25.3251571
1681245495.4539058,25,0,25.3208694
1681245496.4299932,25,0,25.3193206
1681245497.4224193,25,0,25.3051795
1681245498.4064338,25,0,25.2949371
1681245499.403182,25,0,25.2808246
1681245500.3826888,25,0,25.2664184
1681245501.3611176,25,0,25.2756061
1681245502.342384,25,0,25.2568817
1681245503.3323302,25,0,25.2358455
1681245504.2987406,25,0,25.2426891
1681245505.2907186,25,0,25.2352008
1681245506.2738616,25,0,25.2275924
1681245507.2628193,25,0,25.2203636
1681245508.237383,25,0,25.214344
1681245509.2348018,25,0,25.2089538
1681245510.2073805,25,0,25.1944999
1681245511.1868548,25,0,25.1953487
1681245512.1634238,25,0,25.1709785
1681245513.1459506,25,0,25.1668186
1681245514.1271324,25,0,25.1668968
1681245515.1162941,25,0,25.1498622
1681245516.105362,25,0,25.1488876
1681245517.088469,25,0,25.1309299
1681245518.0649266,25,0,25.1334133
1681245519.0519273,25,0,25.11594
1681245520.0324512,25,0,25.1095638
1681245521.0121195,25,0,25.1027393
1681245521.999317,25,0,25.1002197
1681245522.9907598,25,0,25.0883998
1681245523.9781513,25,0,25.0741062
1681245524.9693248,25,0,25.0687427
1681245525.959238,25,0,25.0542583
1681245526.9542084,25,0,25.0495834
1681245527.933577,25,0,25.0429439
1681245528.9086637,25,0,25.032154
1681245529.893603,25,0,25.0317821
1681245530.8765643,25,0,25.0156059
1681245531.8504164,25,0,25.0137557
1681245532.8337162,25,0,25.0107097
1681245533.828953,25,0.0010477268479993625,24.9979839
1681245534.8262799,25,0.00048500484799997984,24.9991436
1681245535.8288774,25,0.0054384408480007435,24.9896507
1681245536.8203013,25,0.011886745856000063,24.9776344
1681245537.816004,25,0.017508421856000583,24.9676837
1681245538.8079865,25,0.015318095855999319,24.9731388
1681245539.80336,25,0.021888567855999824,24.9615364
1681245540.8178957,25,0.023902786288001104,24.9591674
1681245541.8039637,25,0.02637454465600029,24.9559574
1681245542.790179,25,0.024186191966000144,24.9618377
1681245543.7697744,25,0.03160113463799884,24.9490146
1681245544.7569823,25,0.0313192437140005,24.9514598
1681245545.730775,25,0.035853758882001,24.9445724
1681245546.703847,25,0.03508632816600043,24.9481182
1681245547.6906152,25,0.043408658117999675,24.9340686
1681245548.6665924,25,0.04195678656800007,24.9393615
1681245549.642615,25,0.04953497608799966,24.9270305
